DATE;GDPITA;EXPO;YIELD10Y;UN_RATE
01/10/2014;385748.5;120593.1;2.2346866666666667;12.8333333333333333
01/01/2015;387116.1;122290.3;1.5177333333333333;12.5333333333333333
01/04/2015;388600.7;124267.0;1.7895666666666667;12.2666666666666667
01/07/2015;389281.1;121448.8;1.9336133333333333;11.6333333333333333
01/10/2015;391291.3;123404.7;1.6149600000000000;11.6666666666666667
01/01/2016;392770.3;121573.0;1.4893200000000000;11.6666666666666667
01/04/2016;393399.2;123247.8;1.4738500000000000;11.7000000000000000
01/07/2016;395484.6;124885.4;1.22321000000000000000;11.6333333333333333
01/10/2016;396697.9;127736.7;1.7598100000000000;11.8333333333333333
01/01/2017;398753.5;132320.5;2.2479066666666667;11.6666666666666667
01/04/2017;400470.0;132242.3;2.1681466666666667;11.2666666666666667
